etID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
9147,"853313","1","Gear","Magnets/Miscellaneous","2011","Copenhagen LEGO Store Magnet",,,,,,,"http://www.1000steine.com/brickset/images/853313-1.jpg","No","No",0
8799,"853317","1","Gear","Magnets/Miscelleneous","2011","I (love) NY Figure Magnet",,,,,,,"http://www.1000steine.com/brickset/images/853317-1.jpg","No","No",0
8990,"853352","1","Gear","Seasonal","2011","2012 US Calendar",,,,9.99,,,"http://www.1000steine.com/brickset/images/853352-1.jpg","No","No",0
9085,"853353","1","Gear","Magnets/Seasonal","2011","Christmas Scene Magnet",1,,7.99,9.99,12.99,9.99,"http://www.1000steine.com/brickset/images/853353-1.jpg","No","No",0
9089,"853355","1","Gear","Seasonal","2011","Classic Gift Wrap",,,1.99,3.99,4.49,2.99,"http://www.1000steine.com/brickset/images/853355-1.jpg","No","No",0
23556,"853357 ","1","Gear","Key Chains/SpongeBob SquarePants","2011","Patrick Star Superhero Key Chain ",,,,,,,,"No","No",0
9654,"853373","1","Gear","Board Games","2012","LEGO Kingdoms Chess Set",28,,39.99,49.99,59.99,44.99,"http://www.1000steine.com/brickset/images/853373-1.jpg","No","No",0
9379,"853375","1","Gear","Key Chains/City","2012","Firefigher Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853375-1.jpg","No","No",0
23635,"853379","1","Gear","Key Chains/Brick","2012","Purple Brick Key Chain",,,,,,,,"No","No",0
23636,"853380","1","Gear","Key Chains/Brick","2012","Turquoise Brick Key Chain",,,,,,,,"No","No",0
10040,"853389","1","Gear","Stationery","2012","Friends pen and notebook",,,,,,,"http://www.1000steine.com/brickset/images/853389-1.jpg","No","No",0
10039,"853394","1","Gear","Storage","2012","Friends jewellery box",,,,,,,"http://www.1000steine.com/brickset/images/853394-1.jpg","No","No",0
9851,"853395","1","Gear","Housewares","2012","Friends Tumbler",,,4.99,,,,"http://www.1000steine.com/brickset/images/853395-1.jpg","No","No",0
10038,"853396","1","Gear","Bags","2012","Friends handbag",,,,,,,"http://www.1000steine.com/brickset/images/853396-1.jpg","No","No",0
10121,"853397","1","Gear","Housewares","2010","Friends towel",,,,,,,"http://www.1000steine.com/brickset/images/853397-1.jpg","No","No",0
10122,"853400","1","Gear","Housewares","2012","Friends mug",,,,,,,"http://www.1000steine.com/brickset/images/853400-1.jpg","No","No",0
9380,"853401","1","Gear","Key Chains/Ninjago","2012","Ninja Kai Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853401-1.jpg","No","No",0
9381,"853402","1","Gear","Key Chains/Ninjago","2012","Ninja Cole Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853402-1.jpg","No","No",0
9382,"853403","1","Gear","Key Chains/Ninjago","2012","Ninjago Hypnobrai Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853403-1.jpg","No","No",0
9383,"853404","1","Gear","Magnets/Ninjago","2012","Ninjago Magnet Set",,,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853404-1.jpg","No","No",0
9217,"853405","1","Gear","Role-play toys","2011","Snake Sword",,,7.99,9.99,10.99,7.99,"http://www.1000steine.com/brickset/images/853405-1.jpg","No","No",0
9218,"853406","1","Gear","Role-play toys","2011","Green Bandana",,,3.99,4.99,6.99,2.99,"http://www.1000steine.com/brickset/images/853406-1.jpg","No","No",0
9384,"853409","1","Gear","Storage","2012","Ninjago Spinner Storage Box",,,14.99,16.99,18.99,14.99,"http://www.1000steine.com/brickset/images/853409-1.jpg","No","No",0
9385,"853410","1","Gear","Miscellaneous","2012","Spinjitzu Card Collection Holder",,,9.99,12.99,14.99,9.99,"http://www.1000steine.com/brickset/images/853410-1.jpg","No","No",0
9386,"853412","1","Gear","Key Chains/Star Wars","2012","Anakin Skywalker Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853412-1.jpg","No","No",0
9387,"853413","1","Gear","Key Chains/Star Wars","2012","Watto Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853413-1.jpg","No","No",0
9388,"853414","1","Gear","Magnets/Star Wars","2012","Magnets",,,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853414-1.jpg","No","No",0
9444,"853419","1","Gear","Magnets/Star Wars","2012","Magnets",,,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853419-1.jpg","No","No",0
9389,"853421","1","Gear","Magnets/Star Wars","2012","Magnets",,,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853421-1.jpg","No","No",0
9535,"853429","1","Gear","Key Chains/Super Heroes","2012","Batman Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853429-1.jpg","No","No",0
9533,"853430","1","Gear","Key Chains/Super Heroes","2012","Superman Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853430-1.jpg","No","No",0
9390,"853431","1","Gear","Magnets/Super Heroes","2012","Super Heroes Magnet Set",,,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853431-1.jpg","No","No",0
9644,"853432","1","Gear","Magnets/Super Heroes","2012","Super Heroes Magnet Set",,,9.99,,,,"http://www.1000steine.com/brickset/images/853432-1.jpg","No","No",0
9534,"853433","1","Gear","Key Chains/Super Heroes","2012","Wonder Woman Key Chain",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/853433-1.jpg","No","No",0
6715,"876993","1","Gear","Stationery","2008","LEGO Brick Eraser Set",,,1.99,,,,"http://www.1000steine.com/brickset/images/876993-1.jpg","No","No",0
6703,"920616","1","Gear","Housewares","2008","Lunchbox Red",,,4.89,,,,"http://www.1000steine.com/brickset/images/920616-1.jpg","No","No",0
5421,"922213","1","Gear","Stationery","2001","Brick Eraser Set",,,1.99,,,,"http://www.1000steine.com/brickset/images/922213-1.jpg","No","No",0
6704,"922999","1","Gear","Housewares","2008","Lunchbox Yellow",,,4.89,,,,"http://www.1000steine.com/brickset/images/922999-1.jpg","No","No",0
6701,"926096","1","Gear","Housewares","2008","Lunchbox Green",,,4.89,,,,"http://www.1000steine.com/brickset/images/926096-1.jpg","No","No",0
5901,"926097","1","Gear","Housewares","2000","Lunchbox Blue",,,4.99,,,,"http://www.1000steine.com/brickset/images/926097-1.jpg","No","No",0
8843,"2850828","1","Gear","Watches/Clocks","2011","Darth Vader Watch",1,,20.99,24.99,24.99,19.99,"http://www.1000steine.com/brickset/images/2850828-1.jpg","No","No",0
8842,"2850829","1","Gear","Watches/Clocks","2011","Luke Skywalker Watch",,,20.99,24.99,24.99,19.99,"http://www.1000steine.com/brickset/images/2850829-1.jpg","No","No",0
8855,"2850855","1","Gear","Pens","2011","Darth Vader pen",,,,9.99,,,"http://www.1000steine.com/brickset/images/2850855-1.jpg","No","No",0
8987,"2850856","1","Gear","Pens","2011","Yoda Connect & Build Pen ",,,,9.99,,,"http://www.1000steine.com/brickset/images/2850856-1.jpg","No","No",0
8988,"2850857","1","Gear","Pens","2011","R2-D2 Connect & Build Pen",,,,9.99,,,"http://www.1000steine.com/brickset/images/2850857-1.jpg","No","No",0
9243,"2850868","1","Gear","Watches/Clocks","2011","Classic Brick Kids Watch",,,20.99,24.99,34.99,24.99,"http://www.1000steine.com/brickset/images/2850868-1.jpg","No","No",0
7053,"2851070","1","Gear","Pens","2009","LEGO Star Wars Jango Fett Pen",,,,9.99,,,"http://www.1000steine.com/brickset/images/2851070-1.jpg","No","No",0
8065,"2851103","1","Gear","Books/BrickJournal","2010","BrickJournal #10",,,5.99,8.95,,,"http://www.1000steine.com/brickset/images/2851103-1.jpg","No","No",0
7054,"2851126","1","Gear","Pens","2009","LEGO Star Wars Darth Maul Pen",,,,9.99,,,"http://www.1000steine.com/brickset/images/2851126-1.jpg","No","No",0
7055,"2851134","1","Gear","Pens","2009","LEGO Star Wars Luke Skywalker Pen",,,,9.99,,,"http://www.1000steine.com/brickset/images/2851134-1.jpg","No","No",0
