SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
4929,"2002","1","Primo","","1998","Jumbo Building Bag",,80,,20,,,,"No","No",0
4930,"2003","1","Primo","","1997","Jumbo Building Bag",1,80,,20,,,,"No","No",0
22533,"2004","1","Duplo","Primo","1996","Jumbo Building Tub",1,51,,,,,,"No","No",0
4931,"2005","1","Primo","","1996","Duplo Primo",1,17,,,,,,"No","No",0
22534,"2006","1","Duplo","Primo","1996","Primo Box",,19,,,,,,"No","No",0
711,"2007","1","Primo","","1998","Singing Camel",1,1,,13,,,,"No","No",0
7648,"2008","1","Miscellaneous","Employee gift","2008","Heart",,92,,,,,"http://www.1000steine.com/brickset/images/2008-1.jpg","No","No",0
7649,"2009","1","Miscellaneous","Employee gift","2009","Heart",,92,,,,,"http://www.1000steine.com/brickset/images/2009-1.jpg","No","No",0
22456,"2009","2","Primo","","1997","Large Bulk Box",,25,,,,,,"No","No",0
712,"2010","1","Primo","","1997","Baby Walker",1,14,,30,,,"http://www.1000steine.com/brickset/images/2010-1.jpg","No","No",0
8497,"2010","2","Miscellaneous","Employee gift","2010","Happy Holidays - The Christmas Game",,139,,,,,"http://www.1000steine.com/brickset/images/2010-2.jpg","No","No",0
713,"2011","1","Primo","","1998","My Home Stack 'n' Learn Set",1,5,,,,,,"No","No",0
9141,"2011","2","Miscellaneous","Employee gift","2011","LEGO Duck",,91,,,,,"http://www.1000steine.com/brickset/images/2011-2.jpg","No","No",0
9405,"2012","1","Primo","","1998","Lucy Ladybug",,13,,,,,,"No","No",0
714,"2013","1","Primo","","1998","My First Train Stack 'n' Learn Set",1,9,,,,,,"No","No",0
715,"2014","1","Duplo","Baby","1986","Oval Rattle",,1,,,,,,"No","No",0
716,"2015","1","Duplo","Baby","1983","Oval Rattle",,1,,,,,,"No","No",0
4932,"2017","1","Primo","","1998","Choo Choo Train",1,13,,20,,,,"No","No",0
717,"2018","1","Primo","","1998","Little Brother Stack 'n' Learn Set",1,19,,15,,,,"No","No",0
6653,"2019","1","Primo","","1998","Bumper Stack and Learn Set",,30,,,,,"http://www.1000steine.com/brickset/images/2019-1.jpg","No","No",0
718,"2020","1","Duplo","Baby","1987","Duck Rattle - Teether",,1,,5,,,,"No","No",0
719,"2021","1","Primo","","1998","Gift Set",,7,,,,,,"No","No",0
720,"2022","1","Primo","","1998","Amy Elephant",,11,,30,,,,"No","No",0
721,"2023","1","Duplo","Baby","1983","Square Rattle",,1,,,,,,"No","No",0
