SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
4492,"885","1","Space","Classic","1979","Space Scooter",1,20,,,,,"http://www.1000steine.com/brickset/images/885-1.jpg","No","No",0
4505,"886","1","Space","Classic","1979","Space Buggy",1,20,,,,,"http://www.1000steine.com/brickset/images/886-1.jpg","No","No",0
4514,"889","1","Space","Classic","1979","Radar Truck",1,29,,,,,"http://www.1000steine.com/brickset/images/889-1.jpg","No","No",0
4517,"890","1","Basic","Supplementaries","1981","Wind-Up Motor",,10,,,,,"http://www.1000steine.com/brickset/images/890-1.jpg","No","No",0
4518,"891","1","Space","Classic","1979","Two Seater Space Scooter",1,39,,,,,"http://www.1000steine.com/brickset/images/891-1.jpg","No","No",0
4519,"894","1","Space","Classic","1979","Mobile Ground Tracking Station",1,76,,,,,"http://www.1000steine.com/brickset/images/894-1.jpg","No","No",0
4520,"895","1","Basic","Supplementaries","1985","Wind-Up Motor",,10,,9.5,,,"http://www.1000steine.com/brickset/images/895-1.jpg","No","No",0
4521,"897","1","Space","Classic","1979","Mobile rocket launcher",2,76,,,,,"http://www.1000steine.com/brickset/images/897-1.jpg","No","No",0
7958,"900","1","Basic","","1973","Universal Motor Set",,32,,,,,"http://www.1000steine.com/brickset/images/900-1.jpg","No","No",0
23455,"900","2","Classic","","1969","Small Wheels with Accessories",,,,,,,,"No","No",0
4523,"901","1","Universal Building Set","","1976","Universal Motor Set",,31,,,,,"http://www.1000steine.com/brickset/images/901-1.jpg","No","No",0
23456,"901","2","Classic","","1969","Large Wheels with Accessories",,,,,,,,"No","No",0
23457,"902","1","Classic","","1969","Turntables",,,,,,,,"No","No",0
8400,"906","1","Classic","","1969","Doors and hinges",,17,,,,,"http://www.1000steine.com/brickset/images/906-1.jpg","No","No",0
4524,"910","1","Basic","","1976","Advanced Basic Set, 6+",3,283,,,,,"http://www.1000steine.com/brickset/images/910-1.jpg","No","No",0
4525,"911","1","Basic","","1976","Advanced Basic Set, 6+",4,401,,,,,"http://www.1000steine.com/brickset/images/911-1.jpg","No","No",0
4526,"912","1","Basic","","1976","Advanced Basic Set with Motor, 6+",3,471,,,,,"http://www.1000steine.com/brickset/images/912-1.jpg","No","No",0
