SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
8113,"1756","1","Basic","","1995","Animals",,8,,,,,"http://www.1000steine.com/brickset/images/1756-1.jpg","No","No",0
22509,"1757","1","Duplo","","1994","Large Bulk Bucket",,,,,,,,"No","No",0
8114,"1758","1","Basic","","1995","Animals",,7,,,,,"http://www.1000steine.com/brickset/images/1758-1.jpg","No","No",0
569,"1759","1","Duplo","","1995","Parrot",,7,,0.6,,,"http://www.1000steine.com/brickset/images/1759-1.jpg","No","No",0
570,"1760","1","Town","Racing","1995","Go-Kart",1,21,,,,,"http://www.1000steine.com/brickset/images/1760-1.jpg","No","No",0
571,"1761","1","Town","Paradisa","1995","Paradisa Speedboat",1,21,,,,,"http://www.1000steine.com/brickset/images/1761-1.jpg","No","No",0
572,"1762","1","Town","Racing","1995","Hot Wheels",1,21,,,,,"http://www.1000steine.com/brickset/images/1762-1.jpg","No","No",0
5005,"1764","1","Duplo","","1995","Birthday Building Set",,100,,,,,,"No","No",0
10360,"1765","1","Duplo","","1995","Small Bucket",,34,,,,,,"No","No",0
10361,"1766","1","Freestyle","","1995","Small Freestyle Bucket",,109,,,,,,"No","No",0
8115,"1767","1","Basic","","1995","Animals",,6,,,,,"http://www.1000steine.com/brickset/images/1767-1.jpg","No","No",0
8116,"1768","1","Basic","","1995","Animals",,10,,,,,"http://www.1000steine.com/brickset/images/1768-1.jpg","No","No",0
573,"1769","1","Basic","","1992","Prop plane",,23,,,,,"http://www.1000steine.com/brickset/images/1769-1.jpg","No","No",0
574,"1772","1","Town","Special","1991","Airport Container Truck",1,80,,,,,"http://www.1000steine.com/brickset/images/1772-1.jpg","No","No",0
575,"1773","1","Town","Special","1991","Airline Maintenance Vehicle with Trailer",1,109,,,,,"http://www.1000steine.com/brickset/images/1773-1.jpg","No","No",0
576,"1774","1","Town","Special","1991","Aircraft",2,137,,,,,"http://www.1000steine.com/brickset/images/1774-1.jpg","No","No",0
577,"1775","1","Town","Special","1994","Aircraft",3,158,,,,,"http://www.1000steine.com/brickset/images/1775-1.jpg","No","No",0
5419,"1776","1","Basic","","1996","Bonus Value Bucket",,950,,20,,,"http://www.1000steine.com/brickset/images/1776-1.jpg","No","No",0
578,"1777","1","Basic","","1997","Plane",,10,,,,,"http://www.1000steine.com/brickset/images/1777-1.jpg","No","No",0
579,"1778","1","Basic","","1997","Boat",,9,,,,,"http://www.1000steine.com/brickset/images/1778-1.jpg","No","No",0
580,"1779","1","Basic","","1997","Helicopter",,10,,,,,"http://www.1000steine.com/brickset/images/1779-1.jpg","No","No",0
22454,"1781","1","Duplo","","1997","Dino Babies",,90,,,,,,"No","No",0
581,"1782","1","Town","Divers","1997","Discovery Station",5,322,,50,,,"http://www.1000steine.com/brickset/images/1782-1.jpg","No","No",0
582,"1783","1","Primo","","1997","Primo Rattle",,2,,1,,,"http://www.1000steine.com/brickset/images/1783-1.jpg","No","No",0
6643,"1784","1","Duplo","","1996","Animals Bulk Box",,21,,,,,"http://www.1000steine.com/brickset/images/1784-1.jpg","No","No",0
583,"1785","1","Space","Miscellaneous","1995","Crater Critters",,143,,10,,,"http://www.1000steine.com/brickset/images/1785-1.jpg","No","No",0
584,"1786","1","Town","Police","1995","Jailbreak Joe",4,186,,,,,"http://www.1000steine.com/brickset/images/1786-1.jpg","No","No",0
