SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
6439,"8157","1","Racers","Ferrari","2008","Ferrari F1 1:9",,997,73.39,89.99,,,"http://www.1000steine.com/brickset/images/8157-1.jpg","No","No",0
6360,"8158","1","Racers","Speed Racer","2008","Speed Racer & Snake Oiler",2,242,12.69,19.99,,,"http://www.1000steine.com/brickset/images/8158-1.jpg","No","No",0
6361,"8159","1","Racers","Speed Racer","2008","Racer X & Taejo Togokhan",2,237,12.69,19.99,,,"http://www.1000steine.com/brickset/images/8159-1.jpg","No","No",0
6362,"8160","1","Racers","Speed Racer","2008","Cruncher Block & Racer X",4,367,24.49,39.99,,,"http://www.1000steine.com/brickset/images/8160-1.jpg","No","No",0
6363,"8161","1","Racers","Speed Racer","2008","Grand Prix Race",7,595,34.99,59.99,,,"http://www.1000steine.com/brickset/images/8161-1.jpg","No","No",0
6761,"8162","1","Racers","Power Racers","2009","Race Rig",,104,7.85,12.99,,,"http://www.1000steine.com/brickset/images/8162-1.jpg","No","No",0
6762,"8163","1","Racers","Power Racers","2009","Blue Sprinter",,110,7.85,12.99,,,"http://www.1000steine.com/brickset/images/8163-1.jpg","No","No",0
6763,"8164","1","Racers","Power Racers","2009","Extreme Wheelie",,87,7.85,12.99,,,"http://www.1000steine.com/brickset/images/8164-1.jpg","No","No",0
6764,"8165","1","Racers","Power Racers","2009","Monster Jumper",,91,7.85,12.99,,,"http://www.1000steine.com/brickset/images/8165-1.jpg","No","No",0
6765,"8166","1","Racers","Power Racers","2009","Wing Jumper",,203,14.65,19.99,,,"http://www.1000steine.com/brickset/images/8166-1.jpg","No","No",0
6766,"8167","1","Racers","Power Racers","2009","Jump Riders",,209,15.65,19.99,,,"http://www.1000steine.com/brickset/images/8167-1.jpg","No","No",0
6824,"8168","1","Racers","Ferrari","2009","Ferrari Victory",3,202,15.65,19.99,,,"http://www.1000steine.com/brickset/images/8168-1.jpg","No","No",0
6914,"8169","1","Racers","Lamborghini","2009","Lamborghini Gallardo LP 560-4",,741,59.99,59.99,79.99,,"http://www.1000steine.com/brickset/images/8169-1.jpg","No","No",0
6915,"8182","1","Racers","Tiny Turbos","2009","Monster Crushers",,388,31.29,39.99,,,"http://www.1000steine.com/brickset/images/8182-1.jpg","No","No",0
6767,"8183","1","Racers","Radio-Control","2009","Track Turbo RC",,92,24.99,39.99,49.99,,"http://www.1000steine.com/brickset/images/8183-1.jpg","No","No",0
6815,"8184","1","Racers","Radio-Control","2009","Twin X-treme RC",,239,36.19,,,,"http://www.1000steine.com/brickset/images/8184-1.jpg","No","No",0
6984,"8185","1","Racers","Ferrari","2009","Ferrari Truck",5,534,59.99,79.99,99.99,,"http://www.1000steine.com/brickset/images/8185-1.jpg","No","No",0
6916,"8186","1","Racers","Tiny Turbos","2009","Street Extreme",,757,49.99,69.99,89.99,,"http://www.1000steine.com/brickset/images/8186-1.jpg","No","No",0
7252,"8188","1","Power Miners","","2010","Fire Blaster",2,67,6.99,9.99,12.99,,"http://www.1000steine.com/brickset/images/8188-1.jpg","No","No",0
7253,"8189","1","Power Miners","","2010","Magma Mech",2,183,17.99,19.99,26.99,,"http://www.1000steine.com/brickset/images/8189-1.jpg","No","No",0
7254,"8190","1","Power Miners","","2010","Claw Catcher",2,259,24.99,34.99,44.99,,"http://www.1000steine.com/brickset/images/8190-1.jpg","No","No",0
7255,"8191","1","Power Miners","","2010","Lavatraz",4,381,34.99,49.99,69.99,,"http://www.1000steine.com/brickset/images/8191-1.jpg","No","No",0
