SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
3924,"7417","1","Adventurers","Orient Expedition","2003","Temple of Mount Everest",4,292,24.99,30,,,"http://www.1000steine.com/brickset/images/7417-1.jpg","No","No",0
3925,"7418","1","Adventurers","Orient Expedition","2003","Scorpion Palace",5,341,39.99,50,,,"http://www.1000steine.com/brickset/images/7418-1.jpg","No","No",0
8642,"7418","2","Adventurers","Orient Expedition","2003","Scorpion Palace and Foam Scimitar",,342,,,,,"http://www.1000steine.com/brickset/images/7418-2.jpg","No","No",0
3926,"7419","1","Adventurers","Orient Expedition","2003","Dragon Fortress",9,732,69.99,90,,,"http://www.1000steine.com/brickset/images/7419-1.jpg","No","No",0
3927,"7420","1","Adventurers","Orient Expedition","2003","Thunder Blazer",1,69,5.99,8,,,"http://www.1000steine.com/brickset/images/7420-1.jpg","No","No",0
3928,"7422","1","Adventurers","Orient Expedition","2003","Red Eagle",1,33,1.99,4,,,"http://www.1000steine.com/brickset/images/7422-1.jpg","No","No",0
3929,"7423","1","Adventurers","Orient Expedition","2003","Mountain Sleigh",1,30,1.99,4,,,"http://www.1000steine.com/brickset/images/7423-1.jpg","No","No",0
3930,"7424","1","Adventurers","Orient Expedition","2003","Black Cruiser",1,28,1.99,4,,,"http://www.1000steine.com/brickset/images/7424-1.jpg","No","No",0
3931,"7435","1","Explore","Little Robots","2003","Tiny's Day and Night Lever",1,12,4.99,,,,"http://www.1000steine.com/brickset/images/7435-1.jpg","No","No",0
3932,"7436","1","Explore","Little Robots","2003","Sporty's Jumping Gym",1,10,9.99,,,,"http://www.1000steine.com/brickset/images/7436-1.jpg","No","No",0
3933,"7437","1","Explore","Little Robots","2003","Gardening with Stripy",1,23,14.99,,,,"http://www.1000steine.com/brickset/images/7437-1.jpg","No","No",0
3934,"7439","1","Explore","Little Robots","2003","Stretchy's Junk Yard",2,36,19.99,,,,"http://www.1000steine.com/brickset/images/7439-1.jpg","No","No",0
3936,"7441","1","Explore","Little Robots","2003","Tiny & Friends",4,53,29.99,,,,"http://www.1000steine.com/brickset/images/7441-1.jpg","No","No",0
3937,"7442","1","Explore","Little Robots","2004","Tiny's Lift Cart",1,3,7.99,,,,"http://www.1000steine.com/brickset/images/7442-1.jpg","No","No",0
3938,"7443","1","Explore","Little Robots","2004","Stretchy's Junk Cart",1,3,7.99,,,,"http://www.1000steine.com/brickset/images/7443-1.jpg","No","No",0
3939,"7444","1","Explore","Little Robots","2004","Sporty's Gym Cart",1,2,7.99,,,,"http://www.1000steine.com/brickset/images/7444-1.jpg","No","No",0
3940,"7445","1","Explore","Little Robots","2004","Stripy's Flower Cart",1,3,7.99,,,,"http://www.1000steine.com/brickset/images/7445-1.jpg","No","No",0
3941,"7446","1","Explore","Little Robots","2003","Tiny",1,2,7.99,,,,"http://www.1000steine.com/brickset/images/7446-1.jpg","No","No",0
3942,"7449","1","Explore","Little Robots","2003","Sporty",1,2,19.99,,,,"http://www.1000steine.com/brickset/images/7449-1.jpg","No","No",0
3944,"7450","1","Explore","Little Robots","2003","Stretchy",1,1,19.99,,,,"http://www.1000steine.com/brickset/images/7450-1.jpg","No","No",0
6207,"7452","1","Racers","Tiny Turbos","2007","Le Mans",,34,,,,,"http://www.1000steine.com/brickset/images/7452-1.jpg","No","No",0
6208,"7453","1","Racers","Tiny Turbos","2007","Off Road",,28,,,,,"http://www.1000steine.com/brickset/images/7453-1.jpg","No","No",0
3954,"7467","1","Discovery","","2003","International Space Station",,162,9.99,15,,,"http://www.1000steine.com/brickset/images/7467-1.jpg","No","No",0
3955,"7468","1","Discovery","","2003","Saturn V Moon Mission",,178,14.99,20,,,"http://www.1000steine.com/brickset/images/7468-1.jpg","No","No",0
3956,"7469","1","Discovery","","2003","Mission To Mars",,418,24.99,30,,,"http://www.1000steine.com/brickset/images/7469-1.jpg","No","No",0
3958,"7470","1","Discovery","","2003","Space Shuttle Discovery-STS-31",,828,49.99,50,,,"http://www.1000steine.com/brickset/images/7470-1.jpg","No","No",0
3959,"7471","1","Discovery","","2003","Mars Exploration Rover",,870,69.99,90,,,"http://www.1000steine.com/brickset/images/7471-1.jpg","No","No",0
4758,"7473","1","Dino Attack","","2005","Steel Sprinter vs. Mutant Lizard",1,42,,4,,,"http://www.1000steine.com/brickset/images/7473-1.jpg","No","No",0
4759,"7474","1","Dino Attack","","2005","Urban Avenger vs. Raptor",1,87,,10,,,"http://www.1000steine.com/brickset/images/7474-1.jpg","No","No",0
4760,"7475","1","Dino Attack","","2005","Fire Hammer vs. Mutant Lizards",1,254,,20,,,"http://www.1000steine.com/brickset/images/7475-1.jpg","No","No",0
4761,"7476","1","Dino Attack","","2005","Iron Predator vs. T-Rex",3,278,,40,,,"http://www.1000steine.com/brickset/images/7476-1.jpg","No","No",0
4762,"7477","1","Dino Attack","","2005","T-1 Typhoon vs. T-Rex",4,605,,70,,,"http://www.1000steine.com/brickset/images/7477-1.jpg","No","No",0
3960,"7495","1","Explore","Little Robots","2004","Sporty's Skate Park",1,11,4.99,,,,"http://www.1000steine.com/brickset/images/7495-1.jpg","No","No",0
3961,"7496","1","Explore","Little Robots","2004","Stretchy at Work",1,10,4.99,,,,"http://www.1000steine.com/brickset/images/7496-1.jpg","No","No",0
8249,"7498","1","City","Police","2011","Police Station",6,783,71.99,99.99,129.99,99.99,"http://www.1000steine.com/brickset/images/7498-1.jpg","No","No",0
8250,"7499","1","City","Trains","2011","Flexible and Straight Tracks",,24,15.99,19.99,24.99,16.99,"http://www.1000steine.com/brickset/images/7499-1.jpg","No","No",0
3962,"7501","1","Clikits","","2003","Bangle Minis",,32,2.99,4,,,"http://www.1000steine.com/brickset/images/7501-1.jpg","No","No",0
3963,"7502","1","Clikits","","2003","Photo Minis",,30,2.99,4,,,"http://www.1000steine.com/brickset/images/7502-1.jpg","No","No",0
3964,"7503","1","Clikits","","2003","Memo Minis",,24,2.99,4,,,"http://www.1000steine.com/brickset/images/7503-1.jpg","No","No",0
3965,"7504","1","Clikits","","2004","Friendship Frame / Mirror",,15,1.99,4,,,"http://www.1000steine.com/brickset/images/7504-1.jpg","No","No",0
3966,"7505","1","Clikits","","2004","Flowered Hair Bands",,16,1.99,4,,,"http://www.1000steine.com/brickset/images/7505-1.jpg","No","No",0
3967,"7506","1","Clikits","","2004","Starry Bangles & Rings",,9,1.99,4,,,"http://www.1000steine.com/brickset/images/7506-1.jpg","No","No",0
3968,"7507","1","Clikits","","2003","Jewels 'n' Rings",,78,6.99,7,,,"http://www.1000steine.com/brickset/images/7507-1.jpg","No","No",0
3969,"7508","1","Clikits","","2003","Jewels 'n' Bands",,78,6.99,7,,,"http://www.1000steine.com/brickset/images/7508-1.jpg","No","No",0
3970,"7509","1","Clikits","","2003","Cool Jewels 'n' Clips",,70,6.99,7,,,"http://www.1000steine.com/brickset/images/7509-1.jpg","No","No",0
3971,"7510","1","Clikits","","2003","Trendy Tote Hot Pink",,89,12.99,15,,,"http://www.1000steine.com/brickset/images/7510-1.jpg","No","No",0
3972,"7511","1","Clikits","","2003","Trendy Tote Tangerine",,94,12.99,15,,,"http://www.1000steine.com/brickset/images/7511-1.jpg","No","No",0
3973,"7512","1","Clikits","","2003","Trendy Tote Sky Blue",,94,12.99,15,,,"http://www.1000steine.com/brickset/images/7512-1.jpg","No","No",0
3974,"7513","1","Clikits","","2003","Ultimate Design Studio",,281,29.99,30,,,"http://www.1000steine.com/brickset/images/7513-1.jpg","No","No",0
3975,"7514","1","Clikits","","2004","Sweet Dreamy Jewels",,48,6.99,7,,,"http://www.1000steine.com/brickset/images/7514-1.jpg","No","No",0
3976,"7515","1","Clikits","","2004","Striped Sunny Jewels",,48,6.99,7,,,"http://www.1000steine.com/brickset/images/7515-1.jpg","No","No",0
3977,"7516","1","Clikits","","2004","Cool Starry Jewels",,52,6.99,7,,,"http://www.1000steine.com/brickset/images/7516-1.jpg","No","No",0
3978,"7517","1","Clikits","","2003","Cool Room Décor",,131,9.99,10,,,"http://www.1000steine.com/brickset/images/7517-1.jpg","No","No",0
3979,"7518","1","Clikits","","2003","Cool Room Catchers",,111,9.99,10,,,"http://www.1000steine.com/brickset/images/7518-1.jpg","No","No",0
3980,"7519","1","Clikits","","2003","Cool Room Frames",,111,9.99,10,,,"http://www.1000steine.com/brickset/images/7519-1.jpg","No","No",0
3981,"7520","1","Clikits","","2003","Pillow Décor 'N' More",,104,19.99,20,,,"http://www.1000steine.com/brickset/images/7520-1.jpg","No","No",0
3982,"7521","1","Clikits","","2003","Pretty Punch Activity Set",,30,12.99,20,,,"http://www.1000steine.com/brickset/images/7521-1.jpg","No","No",0
3983,"7522","1","Clikits","","2003","Let's Party Set",,3,19.99,20,,,"http://www.1000steine.com/brickset/images/7522-1.jpg","No","No",0
4687,"7523","1","Clikits","","2005","Hip Hair Set",,16,2.99,5,,,"http://www.1000steine.com/brickset/images/7523-1.jpg","No","No",0
3984,"7524","1","Clikits","","2004","Glamour Girl Purse",,18,4.99,5,,,"http://www.1000steine.com/brickset/images/7524-1.jpg","No","No",0
3985,"7525","1","Clikits","","2004","Sunshine Picture Stand",,22,4.99,5,,,"http://www.1000steine.com/brickset/images/7525-1.jpg","No","No",0
3986,"7526","1","Clikits","","2004","My Starry Notes",,27,4.99,5,,,"http://www.1000steine.com/brickset/images/7526-1.jpg","No","No",0
4688,"7527","1","Clikits","","2005","Pretty in Pink Beauty Set",,136,12.99,20,,,"http://www.1000steine.com/brickset/images/7527-1.jpg","No","No",0
3987,"7528","1","Clikits","","2004","Designer Desk Set",,69,9.99,13,,,"http://www.1000steine.com/brickset/images/7528-1.jpg","No","No",0
3988,"7529","1","Clikits","","2004","Stylin' Stationery Set",,72,9.99,13,,,"http://www.1000steine.com/brickset/images/7529-1.jpg","No","No",0
3989,"7530","1","Clikits","","2004","Starry Decoration Set",,70,9.99,13,,,"http://www.1000steine.com/brickset/images/7530-1.jpg","No","No",0
3990,"7531","1","Clikits","","2004","The Ultimate Jewelry Collection",,150,19.99,20,,,"http://www.1000steine.com/brickset/images/7531-1.jpg","No","No",0
3991,"7532","1","Clikits","","2004","My Special Storage Space",,115,24.99,35,,,"http://www.1000steine.com/brickset/images/7532-1.jpg","No","No",0
4662,"7533","1","Clikits","","2005","Pretty In Pink Jewels-n-More",1,67,6.99,8,,,"http://www.1000steine.com/brickset/images/7533-1.jpg","No","No",0
