SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
4872,"9922","1","Dacta","Storage","1990","Green Storage Box with Lid",,2,,6.75,,,"http://www.1000steine.com/brickset/images/9922-1.jpg","No","No",0
9298,"9937","1","Dacta","","1998","Small Chain Links",,108,,7.5,,,,"No","No",0
9299,"9938","1","Dacta","","1995","Conveyor Belt Links",,36,,6.25,,,,"No","No",0
7026,"9999","1","Education","Duplo","2009","Upgrade Kit for 9654",,7,,,,,"http://www.1000steine.com/brickset/images/9999-1.jpg","No","No",0
3,"10000","1","Castle","Lion Knights","2001","Guarded Inn",4,253,,25,,,"http://www.1000steine.com/brickset/images/10000-1.jpg","No","No",0
4,"10001","1","Trains","9 V","2001","Metroliner",11,782,,149,,,"http://www.1000steine.com/brickset/images/10001-1.jpg","No","No",0
5,"10002","1","Trains","9 V","2001","Railroad Club Car",5,293,,37.5,,,"http://www.1000steine.com/brickset/images/10002-1.jpg","No","No",0
6,"10003","1","Bulk Bricks","","2001","1x2 Sand Red Bricks",,100,,6,,,"http://www.1000steine.com/brickset/images/10003-1.jpg","No","No",0
7,"10004","1","Bulk Bricks","","2001","2x2 Sand Red Bricks",,100,,7,,,"http://www.1000steine.com/brickset/images/10004-1.jpg","No","No",0
8,"10005","1","Bulk Bricks","","2001","2x4 Sand Red Bricks",,50,,7,,,"http://www.1000steine.com/brickset/images/10005-1.jpg","No","No",0
9,"10006","1","Bulk Bricks","","2001","1x6 Sand Red Bricks",,50,,7,,,"http://www.1000steine.com/brickset/images/10006-1.jpg","No","No",0
10,"10007","1","Bulk Bricks","","2001","2x4 Sand Red Ridge Roof Tiles, Steep Sloped",,25,,5,,,"http://www.1000steine.com/brickset/images/10007-1.jpg","No","No",0
11,"10008","1","Bulk Bricks","","2001","2x4 Sand Red Roof Bricks",,50,,8,,,"http://www.1000steine.com/brickset/images/10008-1.jpg","No","No",0
12,"10009","1","Bulk Bricks","","2001","Assorted Blue Bricks",,62,,5,,,"http://www.1000steine.com/brickset/images/10009-1.jpg","No","No",0
13,"10010","1","Bulk Bricks","","2001","Assorted Yellow Bricks",,62,,4.99,,,"http://www.1000steine.com/brickset/images/10010-1.jpg","No","No",0
14,"10011","1","Bulk Bricks","","2001","Assorted Blue Plates",,42,,4.99,,,"http://www.1000steine.com/brickset/images/10011-1.jpg","No","No",0
15,"10012","1","Bulk Bricks","","2001","Assorted Yellow Plates",,42,,5,,,"http://www.1000steine.com/brickset/images/10012-1.jpg","No","No",0
16,"10013","1","Trains","9 V","2001","Open Freight Wagon",,121,,17,,,"http://www.1000steine.com/brickset/images/10013-1.jpg","No","No",0
17,"10014","1","Trains","9 V","2001","Caboose",,170,,15,,,"http://www.1000steine.com/brickset/images/10014-1.jpg","No","No",0
18,"10015","1","Trains","9 V","2001","Green Passenger Wagon",,194,,19.99,,,"http://www.1000steine.com/brickset/images/10015-1.jpg","No","No",0
19,"10016","1","Trains","9 V","2001","Tanker",,128,,20,,,"http://www.1000steine.com/brickset/images/10016-1.jpg","No","No",0
20,"10017","1","Trains","9 V","2001","Hopper Wagon",,228,,20,,,"http://www.1000steine.com/brickset/images/10017-1.jpg","No","No",0
21,"10018","1","Star Wars","Ultimate Collector Series","2001","Darth Maul",,1868,,150,,,"http://www.1000steine.com/brickset/images/10018-1.jpg","No","No",0
22,"10019","1","Star Wars","Ultimate Collector Series","2001","Rebel Blockade Runner",,1747,,200,,,"http://www.1000steine.com/brickset/images/10019-1.jpg","No","No",0
23,"10020","1","Trains","9 V","2002","Santa Fe Super Chief",2,435,26.99,40,,,"http://www.1000steine.com/brickset/images/10020-1.jpg","No","No",0
24,"10021","1","Hobby Set","","2003","USS Constellation",,973,44.99,60,,,"http://www.1000steine.com/brickset/images/10021-1.jpg","No","No",0
25,"10022","1","Trains","9 V","2002","Santa Fe Cars - Set II",,411,26.99,35,,,"http://www.1000steine.com/brickset/images/10022-1.jpg","No","No",0
26,"10023","1","Bionicle","Accessories","2002","Bionicle Master Builder Set",,112,,13,,,"http://www.1000steine.com/brickset/images/10023-1.jpg","No","No",0
27,"10024","1","Advanced Models","Aircraft","2002","Red Baron",,664,34.99,50,,,"http://www.1000steine.com/brickset/images/10024-1.jpg","No","No",0
28,"10025","1","Trains","9 V","2002","Santa Fe Cars - Set I",,326,24.99,35,,,"http://www.1000steine.com/brickset/images/10025-1.jpg","No","No",0
29,"10026","1","Star Wars","Ultimate Collector Series","2002","Special Edition Naboo Starfighter",,187,,40,,,"http://www.1000steine.com/brickset/images/10026-1.jpg","No","No",0
30,"10027","1","World City","Trains","2003","Train Engine Shed",2,664,49.99,70,,,"http://www.1000steine.com/brickset/images/10027-1.jpg","No","No",0
31,"10029","1","Discovery","","2003","Lunar Lander",2,453,89.99,40,,,"http://www.1000steine.com/brickset/images/10029-1.jpg","No","No",0
32,"10030","1","Star Wars","Ultimate Collector Series","2002","Imperial Star Destroyer",,3096,249.99,269.99,,,"http://www.1000steine.com/brickset/images/10030-1.jpg","No","No",0
33,"10036","1","Town","Shops and Services","2002","Pizza-To-Go",3,151,,20,,,"http://www.1000steine.com/brickset/images/10036-1.jpg","No","No",0
34,"10037","1","Town","Shops and Services","2002","Breezeway Café",5,183,,23,,,"http://www.1000steine.com/brickset/images/10037-1.jpg","No","No",0
35,"10039","1","Castle","Black Falcons","2002","Black Falcon's Fortress",6,426,,40,,,"http://www.1000steine.com/brickset/images/10039-1.jpg","No","No",0
36,"10040","1","Pirates","","2002","Black Seas Barracuda",8,906,,90,,,"http://www.1000steine.com/brickset/images/10040-1.jpg","No","No",0
37,"10041","1","Town","Shops and Services","2003","Main Street",8,622,49.99,65,,,"http://www.1000steine.com/brickset/images/10041-1.jpg","No","No",0
38,"10042","1","Bulk Bricks","Seasonal","2003","U.S. Flag",,35,3.99,3,,,"http://www.1000steine.com/brickset/images/10042-1.jpg","No","No",0
39,"10043","1","Bulk Bricks","","2002","2 x 2 Electrical Plate",,1,,6,,,"http://www.1000steine.com/brickset/images/10043-1.jpg","No","No",0
40,"10044","1","Bulk Bricks","","2002","Windows and Doors",,44,,7.99,,,"http://www.1000steine.com/brickset/images/10044-1.jpg","No","No",0
41,"10045","1","Bulk Bricks","","2002","Bridge Elements",,13,,13,,,"http://www.1000steine.com/brickset/images/10045-1.jpg","No","No",0
42,"10046","1","Bulk Bricks","","2002","Brown Tiles",,100,,7,,,"http://www.1000steine.com/brickset/images/10046-1.jpg","No","No",0
43,"10047","1","Bulk Bricks","","2002","Arch",,36,,5.99,,,"http://www.1000steine.com/brickset/images/10047-1.jpg","No","No",0
44,"10048","1","Bulk Bricks","","2002","Small Wheels and Axles",,61,,8,,,"http://www.1000steine.com/brickset/images/10048-1.jpg","No","No",0
45,"10049","1","Bulk Bricks","","2002","Large Wheels and Axles",,31,,6,,,"http://www.1000steine.com/brickset/images/10049-1.jpg","No","No",0
46,"10050","1","Bulk Bricks","","2002","Grey Fences",,34,,6,,,"http://www.1000steine.com/brickset/images/10050-1.jpg","No","No",0
47,"10051","1","Bulk Bricks","","2002","Small Windows",,50,,7,,,"http://www.1000steine.com/brickset/images/10051-1.jpg","No","No",0
48,"10052","1","Explore","","2003","Intelligent Locomotive",2,4,,55,,,"http://www.1000steine.com/brickset/images/10052-1.jpg","No","No",0
49,"10053","1","Bulk Bricks","","2002","Black Roof Tiles",,44,,6,,,"http://www.1000steine.com/brickset/images/10053-1.jpg","No","No",0
50,"10054","1","Bulk Bricks","","2002","Black Roof Tiles",,68,,5.99,,,"http://www.1000steine.com/brickset/images/10054-1.jpg","No","No",0
51,"10055","1","Bulk Bricks","","2002","Black Roof Tiles",,50,,5.99,,,"http://www.1000steine.com/brickset/images/10055-1.jpg","No","No",0
52,"10056","1","Bulk Bricks","","2002","White Plates",,56,,5,,,"http://www.1000steine.com/brickset/images/10056-1.jpg","No","No",0
53,"10057","1","Bulk Bricks","","2002","Black Plates",,56,,5,,,"http://www.1000steine.com/brickset/images/10057-1.jpg","No","No",0
54,"10058","1","Bulk Bricks","","2002","Red Plates",,56,,5,,,"http://www.1000steine.com/brickset/images/10058-1.jpg","No","No",0
55,"10059","1","Bulk Bricks","","2002","Dark Green Plates",,56,,5,,,"http://www.1000steine.com/brickset/images/10059-1.jpg","No","No",0
56,"10060","1","Bulk Bricks","","2002","Grey Plates",,56,,5,,,"http://www.1000steine.com/brickset/images/10060-1.jpg","No","No",0
57,"10061","1","Bulk Bricks","","2002","Black Plates",,84,,5,,,"http://www.1000steine.com/brickset/images/10061-1.jpg","No","No",0
58,"10062","1","Bulk Bricks","","2002","Red Plates",,84,,4.99,,,"http://www.1000steine.com/brickset/images/10062-1.jpg","No","No",0
59,"10063","1","Bulk Bricks","","2002","Dark Green Plates",,84,,5,,,"http://www.1000steine.com/brickset/images/10063-1.jpg","No","No",0
60,"10064","1","Bulk Bricks","","2002","Grey Plates",,84,,5,,,"http://www.1000steine.com/brickset/images/10064-1.jpg","No","No",0
61,"10065","1","Bulk Bricks","","2002","White Plates",,84,,5,,,"http://www.1000steine.com/brickset/images/10065-1.jpg","No","No",0
62,"10066","1","Bulk Bricks","Castle","2002","Castle Accessories",1,37,,5,,,"http://www.1000steine.com/brickset/images/10066-1.jpg","No","No",0
63,"10067","1","Bulk Bricks","","2002","Mini-Fig Headgear",,53,,5,,,"http://www.1000steine.com/brickset/images/10067-1.jpg","No","No",0
64,"10068","1","Seasonal","Christmas","2002","Santa",,39,,2.5,,,"http://www.1000steine.com/brickset/images/10068-1.jpg","No","No",0
65,"10069","1","Seasonal","Christmas","2002","Tree",,33,,2.5,,,"http://www.1000steine.com/brickset/images/10069-1.jpg","No","No",0
66,"10070","1","Seasonal","Christmas","2002","Reindeer",,26,1.99,2.5,,,"http://www.1000steine.com/brickset/images/10070-1.jpg","No","No",0
67,"10071","1","Seasonal","Easter","2003","Mr. Bunny",,25,1.99,2.5,,,"http://www.1000steine.com/brickset/images/10071-1.jpg","No","No",0
68,"10072","1","Bulk Bricks","Technic","2003","Technic Beams",,56,8.99,9.99,,,"http://www.1000steine.com/brickset/images/10072-1.jpg","No","No",0
69,"10073","1","Bulk Bricks","Technic","2003","Technic Bushes",,130,6.99,9.99,,,"http://www.1000steine.com/brickset/images/10073-1.jpg","No","No",0
70,"10074","1","Bulk Bricks","Technic","2003","Technic Cross Axles",,68,6.99,10,,,"http://www.1000steine.com/brickset/images/10074-1.jpg","No","No",0
71,"10075","1","Studios","Spider-Man","2002","Spider-Man Action Pack",,25,,7,,,"http://www.1000steine.com/brickset/images/10075-1.jpg","No","No",0
