SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
1878,"4017","1","Creator","","2001","Sea Helicopter",,13,,2,,,"http://www.1000steine.com/brickset/images/4017-1.jpg","No","No",0
1879,"4018","1","Creator","","2001","Ship",,12,,2,,,"http://www.1000steine.com/brickset/images/4018-1.jpg","No","No",0
1880,"4019","1","Creator","","2001","Aeroplane",,17,,2,,,"http://www.1000steine.com/brickset/images/4019-1.jpg","No","No",0
1881,"4020","1","Boats","","1987","Fire Fighter",3,206,,28.5,,,"http://www.1000steine.com/brickset/images/4020-1.jpg","No","No",0
1882,"4021","1","Boats","","1991","Police Patrol",3,195,,34,,,"http://www.1000steine.com/brickset/images/4021-1.jpg","No","No",0
1883,"4022","1","Boats","","1996","C26 Sea Cutter",3,193,,30,,,"http://www.1000steine.com/brickset/images/4022-1.jpg","No","No",0
1884,"4023","1","Creator","","2003","Fun and Adventure",1,55,3.49,4,,,"http://www.1000steine.com/brickset/images/4023-1.jpg","No","No",0
1885,"4024","1","Creator","Seasonal","2003","Advent Calendar",,24,14.99,15,,,"http://www.1000steine.com/brickset/images/4024-1.jpg","No","No",0
1886,"4025","1","Boats","","1982","Fire Boat",3,150,,,,,"http://www.1000steine.com/brickset/images/4025-1.jpg","No","No",0
1887,"4026","1","Creator","","2003","Create Your Dreams",,100,3.99,3.5,,,"http://www.1000steine.com/brickset/images/4026-1.jpg","No","No",0
1888,"4027","1","Creator","","2003","Build and Imagine",,100,3.99,3.5,,,"http://www.1000steine.com/brickset/images/4027-1.jpg","No","No",0
1889,"4028","1","Creator","","2003","World of Bricks",,500,9.99,10,,,"http://www.1000steine.com/brickset/images/4028-1.jpg","No","No",0
1890,"4029","1","Creator","","2003","Build with Bricks Bucket",,500,14.99,10,,,"http://www.1000steine.com/brickset/images/4029-1.jpg","No","No",0
1891,"4030","1","Boats","","1987","Cargo Carrier",3,323,,44,,,"http://www.1000steine.com/brickset/images/4030-1.jpg","No","No",0
1892,"4031","1","Boats","","1991","Firefighter",4,361,,52,,,"http://www.1000steine.com/brickset/images/4031-1.jpg","No","No",0
1893,"4032","1","World City","Special","2003","Holiday Jet (LEGO Air Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-1.jpg","No","No",0
9007,"4032","2","World City","Special","2003","Holiday Jet (SAS Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-2.jpg","No","No",0
9008,"4032","3","World City","Special","2003","Holiday Jet (EL AL Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-3.jpg","No","No",0
9009,"4032","4","World City","Special","2003","Holiday Jet (Iberia Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-4.jpg","No","No",0
9010,"4032","5","World City","Special","2003","Holiday Jet (JAL Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-5.jpg","No","No",0
9011,"4032","6","World City","Special","2003","Holiday Jet (Lauda Air Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-6.jpg","No","No",0
9012,"4032","7","World City","Special","2003","Holiday Jet (ANA Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-7.jpg","No","No",0
9013,"4032","8","World City","Special","2003","Holiday Jet (SWISS Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-8.jpg","No","No",0
9014,"4032","9","World City","Special","2003","Holiday Jet (Snowflake Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-9.jpg","No","No",0
9015,"4032","10","World City","Special","2003","Holiday Jet (Austrian Air Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-10.jpg","No","No",0
9016,"4032","11","World City","Special","2003","Holiday Jet (KLM Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-11.jpg","No","No",0
9017,"4032","12","World City","Special","2003","Holiday Jet (Malaysian Air Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-12.jpg","No","No",0
9018,"4032","13","World City","Special","2003","Holiday Jet (Aeroflot Version)",3,151,,,,,"http://www.1000steine.com/brickset/images/4032-13.jpg","No","No",0
6564,"4033","1","Creator","Designer Set","2004","Car",,,,,,,,"No","No",0
6565,"4034","1","Creator","Designer Set","2004","Aeroplane",,,,,,,,"No","No",0
6566,"4035","1","Creator","Designer Set","2004","Boat",,,,,,,,"No","No",0
6567,"4036","1","Creator","Designer Set","2004","Space Plane",,,,,,,,"No","No",0
6568,"4037","1","Creator","Designer Set","2004","Helicopter",,9,,,,,"http://www.1000steine.com/brickset/images/4037-1.jpg","No","No",0
4729,"4038","1","Basic","","2003","Fun Flyer",,30,,,,,"http://www.1000steine.com/brickset/images/4038-1.jpg","No","No",0
1894,"4039","1","Explore","Imagination","2003","LEGO EXPLORE Exclusive",,90,,,,,"http://www.1000steine.com/brickset/images/4039-1.jpg","No","No",0
1895,"4040","1","Galidor","","2002","Nick",,3,,,,,"http://www.1000steine.com/brickset/images/4040-1.jpg","No","No",0
1896,"4042","1","Galidor","","2002","Jens",,4,,,,,"http://www.1000steine.com/brickset/images/4042-1.jpg","No","No",0
1897,"4043","1","Galidor","","2002","Gorm",,4,,,,,"http://www.1000steine.com/brickset/images/4043-1.jpg","No","No",0
1898,"4044","1","Galidor","","2002","Euripides",,3,,,,,"http://www.1000steine.com/brickset/images/4044-1.jpg","No","No",0
1899,"4045","1","Galidor","","2002","Nepol",,3,,,,,"http://www.1000steine.com/brickset/images/4045-1.jpg","No","No",0
1900,"4047","1","Creator","Designer Set","2003","Ultimate Wheels",,514,,30,,,"http://www.1000steine.com/brickset/images/4047-1.jpg","No","No",0
1901,"4048","1","Creator","Designer Set","2003","Mechs",,554,,30,,,"http://www.1000steine.com/brickset/images/4048-1.jpg","No","No",0
1902,"4049","1","Studios","","2001","Nesquick Rabbit Film Set",3,28,,,,,"http://www.1000steine.com/brickset/images/4049-1.jpg","No","No",0
1903,"4051","1","Studios","","2001","Nesquick Rabbit",1,4,,,,,"http://www.1000steine.com/brickset/images/4051-1.jpg","No","No",0
1904,"4052","1","Studios","","2001","Director",1,4,,,,,"http://www.1000steine.com/brickset/images/4052-1.jpg","No","No",0
1905,"4053","1","Studios","","2001","Cameraman",1,5,,,,,"http://www.1000steine.com/brickset/images/4053-1.jpg","No","No",0
4992,"4055","1","Freestyle","","1997","Value Bucket Medium",,322,,10,,,"http://www.1000steine.com/brickset/images/4055-1.jpg","No","No",0
1906,"4056","1","Studios","","2001","Color Light",,13,,,,,"http://www.1000steine.com/brickset/images/4056-1.jpg","No","No",0
1907,"4057","1","Studios","","2001","Spot Light",,10,,,,,"http://www.1000steine.com/brickset/images/4057-1.jpg","No","No",0
1908,"4058","1","Studios","","2001","Cameraman 1",1,4,,,,,"http://www.1000steine.com/brickset/images/4058-1.jpg","No","No",0
1909,"4059","1","Studios","","2001","Director",1,4,,,,,"http://www.1000steine.com/brickset/images/4059-1.jpg","No","No",0
1910,"4060","1","Studios","","2001","Grip",1,4,,,,,"http://www.1000steine.com/brickset/images/4060-1.jpg","No","No",0
1911,"4061","1","Studios","","2001","Assistant",1,4,,,,,"http://www.1000steine.com/brickset/images/4061-1.jpg","No","No",0
1912,"4062","1","Studios","","2001","Actress",1,4,,,,,"http://www.1000steine.com/brickset/images/4062-1.jpg","No","No",0
1913,"4063","1","Studios","","2001","Cameraman 2",1,4,,,,,"http://www.1000steine.com/brickset/images/4063-1.jpg","No","No",0
1914,"4064","1","Studios","","2001","Actor 2",1,4,,,,,"http://www.1000steine.com/brickset/images/4064-1.jpg","No","No",0
1915,"4065","1","Studios","","2001","Actor 3",1,4,,,,,"http://www.1000steine.com/brickset/images/4065-1.jpg","No","No",0
1916,"4066","1","Studios","","2001","Actor 1",1,4,,,,,"http://www.1000steine.com/brickset/images/4066-1.jpg","No","No",0
1917,"4067","1","Studios","","2001","Buggy",,15,,,,,"http://www.1000steine.com/brickset/images/4067-1.jpg","No","No",0
1918,"4068","1","Studios","","2001","Handy Camera",,6,,,,,"http://www.1000steine.com/brickset/images/4068-1.jpg","No","No",0
1919,"4069","1","Studios","","2001","Katinco & Megaphone",,4,,,,,"http://www.1000steine.com/brickset/images/4069-1.jpg","No","No",0
1920,"4070","1","Studios","","2001","Stand Camera",,7,,,,,"http://www.1000steine.com/brickset/images/4070-1.jpg","No","No",0
1921,"4071","1","Studios","","2001","Bottles",,8,,,,,"http://www.1000steine.com/brickset/images/4071-1.jpg","No","No",0
1922,"4072","1","Studios","","2001","Skeleton",1,6,,,,,"http://www.1000steine.com/brickset/images/4072-1.jpg","No","No",0
1923,"4073","1","Studios","","2001","Tree 1",,6,,,,,"http://www.1000steine.com/brickset/images/4073-1.jpg","No","No",0
1924,"4074","1","Studios","","2001","Tree 3",,14,,,,,"http://www.1000steine.com/brickset/images/4074-1.jpg","No","No",0
1925,"4075","1","Studios","","2001","Tree 2",,13,,,,,"http://www.1000steine.com/brickset/images/4075-1.jpg","No","No",0
1926,"4076","1","Studios","","2001","Pteranodon",,17,,,,,"http://www.1000steine.com/brickset/images/4076-1.jpg","No","No",0
1927,"4077","1","Studios","","2001","Plesiosaur",,13,,,,,"http://www.1000steine.com/brickset/images/4077-1.jpg","No","No",0
1928,"4078","1","Studios","","2001","T-Rex",,18,,,,,"http://www.1000steine.com/brickset/images/4078-1.jpg","No","No",0
1929,"4079","1","Studios","","2001","Mini Rex",,4,,,,,"http://www.1000steine.com/brickset/images/4079-1.jpg","No","No",0
1930,"4080","1","Explore","Imagination","2002","Brick Bucket Small",,45,9.99,,,,"http://www.1000steine.com/brickset/images/4080-1.jpg","No","No",0
8638,"4081","1","Explore","Imagination","2002","Brick Bucket Small",,45,,,,,,"No","No",0
1931,"4082","1","Explore","Imagination","2002","Brick Bucket Small",,45,9.99,,,,"http://www.1000steine.com/brickset/images/4082-1.jpg","No","No",0
1932,"4083","1","Explore","Imagination","2002","Brick Bucket Small",,45,5.99,,,,,"No","No",0
1933,"4084","1","Explore","Imagination","2002","Brick Bucket Small",,45,5.99,5,,,,"No","No",0
1934,"4085","1","Explore","Imagination","2002","Brick Bucket Large",,90,14.99,10,,,"http://www.1000steine.com/brickset/images/4085-1.jpg","No","No",0
5067,"4085","2","Duplo","","2005","50th Anniversary Bucket",,90,14.99,,,,"http://www.1000steine.com/brickset/images/4085-2.jpg","No","No",0
5689,"4085","3","Duplo","","2006","Duplo Bucket",1,75,14.99,10,,,"http://www.1000steine.com/brickset/images/4085-3.jpg","No","No",0
1935,"4087","1","Explore","Imagination","2002","Basic Flexible Bucket, Large",,90,9.99,,,,"http://www.1000steine.com/brickset/images/4087-1.jpg","No","No",0
1936,"4088","1","Explore","Imagination","2002","Clown Bucket",,90,9.99,,,,"http://www.1000steine.com/brickset/images/4088-1.jpg","No","No",0
1937,"4089","1","Explore","Imagination","2002","Orange Bucket XL",,90,9.99,,,,"http://www.1000steine.com/brickset/images/4089-1.jpg","No","No",0
1938,"4090","1","Creator","Inventor Set","2003","Motion Madness",,244,12.99,15,,,"http://www.1000steine.com/brickset/images/4090-1.jpg","No","No",0
1939,"4093","1","Creator","Inventor Set","2003","Wild Wind-Up",,320,19.99,25,,,"http://www.1000steine.com/brickset/images/4093-1.jpg","No","No",0
1940,"4094","1","Creator","Inventor Set","2003","Motor Movers",,255,24.99,40,,,"http://www.1000steine.com/brickset/images/4094-1.jpg","No","No",0
1941,"4095","1","Creator","Inventor Set","2003","Record and Play",,345,39.99,50,,,"http://www.1000steine.com/brickset/images/4095-1.jpg","No","No",0
1942,"4096","1","Creator","Designer Set","2003","Micro Wheels",,215,9.99,10,,,"http://www.1000steine.com/brickset/images/4096-1.jpg","No","No",0
1943,"4097","1","Creator","Designer Set","2003","Mini Robots",,229,9.99,10,,,"http://www.1000steine.com/brickset/images/4097-1.jpg","No","No",0
1944,"4098","1","Creator","Designer Set","2003","High Flyers",,197,9.99,10,,,"http://www.1000steine.com/brickset/images/4098-1.jpg","No","No",0
1945,"4099","1","Creator","Designer Set","2003","Robobots",,325,14.99,20,,,"http://www.1000steine.com/brickset/images/4099-1.jpg","No","No",0
1947,"4100","1","Creator","Designer Set","2003","Maximum Wheels",,299,14.99,20,,,"http://www.1000steine.com/brickset/images/4100-1.jpg","No","No",0
1948,"4101","1","Creator","Designer Set","2003","Wild Collection",,492,24.99,30,,,"http://www.1000steine.com/brickset/images/4101-1.jpg","No","No",0
1949,"4103","1","Creator","","2002","Creator Bucket",,200,9.99,5,,,"http://www.1000steine.com/brickset/images/4103-1.jpg","No","No",0
5230,"4103","2","Make and Create","","2005","Fun with Bricks",1,200,9.99,,,,"http://www.1000steine.com/brickset/images/4103-2.jpg","No","No",0
1950,"4104","1","Creator","","2002","Creator Bucket",,200,5.99,,,,"http://www.1000steine.com/brickset/images/4104-1.jpg","No","No",0
